"0805.2150","Victor Galitski","Tudor D. Stanescu, Victor Galitski and S. Das Sarma","Orbital fluctuation mechanism for superconductivity in iron-based
  compounds","expanded version, 9+ pages, 6 color figures","Phys. Rev. B 78, 195114 (2008).","10.1103/PhysRevB.78.195114",,"cond-mat.supr-con cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose orbital fluctuations in a multi-band ground state as the
superconducting pairing mechanism in the new iron-based materials. We develop a
general SU(4) theoretical framework for studying a two-orbital model and
discuss a number of scenarios that may be operational within this orbital
fluctuation paradigm. The orbital and spin symmetry of the superconducting
order parameter is argued to be highly non-universal and dependent on the
details of the underlying band structure. We introduce a minimal two-orbital
model for the Fe-pnictides characterized by non-degenerate orbitals that
strongly mix with each other. They correspond to the iron ""d_xy"" orbital and to
an effective combination of ""d_zx"" and ""d_zy"", respectively. Using this
effective model we perform RPA calculations of susceptibilities and effective
pairing interactions. We find that spin and orbital fluctuations are,
generally, strongly coupled and we identify the parameters that control this
coupling as well as the relative strength of various channels.
","[{""version"":""v1"",""created"":""Thu, 15 May 2008 18:29:12 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2008 22:19:13 GMT""}]","2008-11-18"
"0805.2472","Dafa Li","D. Li, X. Li, H. Huang, X. Li","Stochastic local operations and classical communication properties of
  the n-qubit symmetric Dicke states","16 pages, no figues, some changes including the title","EPL 87, 20006 (2009)","10.1209/0295-5075/87/20006",,"quant-ph","http://creativecommons.org/licenses/by-nc-sa/3.0/","  Recently, several schemes for the experimental creation of Dicke states were
described. In this paper, we show that all the $n$-qubit symmetric Dicke states
with $l$ ($2\leq l\leq (n-2)$) excitations are inequivalent to the $% |GHZ>$
state or the $|W>$ state under SLOCC, that the even $n$% -qubit symmetric Dicke
state with $n/2$ excitations is inequivalent to any even $n$-qubit symmetric
Dicke state with $l\neq n/2$ excitations under SLOCC, and that all the
$n$-qubit symmetric Dicke states with $l$ ($2\leq l\leq (n-2)$) excitations
satisfy Coffman, Kundu and Wootters' generalized monogamy inequality
$C_{12}^{2}+...+C_{1n}^{2}<C_{1(2...n)}^{2}<1$.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 08:28:20 GMT""},{""version"":""v2"",""created"":""Wed, 28 Oct 2009 01:47:35 GMT""}]","2012-05-07"
"0805.2473","Marie Hu\v{s}kov\'{a}","Lajos Horv\'ath, Zsuzsanna Horv\'ath, Marie Hu\v{s}kov\'a","Ratio tests for change point detection","Published in at http://dx.doi.org/10.1214/193940307000000220 the IMS
  Collections (http://www.imstat.org/publications/imscollections.htm) by the
  Institute of Mathematical Statistics (http://www.imstat.org)","IMS Collections 2008, Vol. 1, 293-304","10.1214/193940307000000220","IMS-COLL1-IMSCOLL122","math.ST stat.TH","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose new tests to detect a change in the mean of a time series. Like
many existing tests, the new ones are based on the CUSUM process. Existing
CUSUM tests require an estimator of a scale parameter to make them
asymptotically distribution free under the no change null hypothesis. Even if
the observations are independent, the estimation of the scale parameter is not
simple since the estimator for the scale parameter should be at least
consistent under the null as well as under the alternative. The situation is
much more complicated in case of dependent data, where the empirical spectral
density at 0 is used to scale the CUSUM process. To circumvent these
difficulties, new tests are proposed which are ratios of CUSUM functionals. We
demonstrate the applicability of our method to detect a change in the mean when
the errors are AR(1) and GARCH(1,1) sequences.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 08:32:24 GMT""}]","2008-12-18"
"0805.2474","Hicheur","A.Hicheur","New Physics Search at LHCB","Proceeding of Moriond QCD 2008, 5 pages",,,,"hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Although direct detection of new particles will be the main focus of the LHC,
indirect New Physics searches are expected to provide useful complementary
information. In particular, precision measurements of rare processes occurring
in flavour physics are of utmost importance in constraining the structure of
the New physics low energy effective Lagrangian. In this paper, few key LHCb
studies, including $B_s-\bar{B}_s$ mixing and rare decays through the quark
level $b\to s$ loop transition, are presented to illustrate New Physics effects
at low energy.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 14:44:07 GMT""}]","2008-05-19"
"0805.2475","Daniel Bilc","D. I. Bilc (1), D. J. Singh (1) ((1) Condensed Matter Sciences
  Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee, USA, and
  Department of Physics and Astronomy, University of Tennessee, Knoxville,
  Tennessee, USA)","Frustration of tilts and A-site driven ferroelectricity in
  KNbO_3-LiNbO_3 alloys","4 pages, 5 figures","D. I. Bilc and D. J. Singh, PRL 96, 147602 (2006)","10.1103/PhysRevLett.96.147602",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Density functional calculations for K_{0.5}Li_{0.5}NbO_3 show strong A-site
driven ferroelectricity, even though the average tolerance factor is
significantly smaller than unity and there is no stereochemically active A-site
ion. This is due to the frustration of tilt instabilities by A-site disorder.
There are very large off-centerings of the Li ions, which contribute strongly
to the anisotropy between the tetragonal and rhombohedral ferroelectric states,
yielding a tetragonal ground state even without strain coupling.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 08:48:31 GMT""}]","2008-05-19"
"0805.2476","Teppei Katori Mr.","Teppei Katori","Neutrino Cross Section Measurements for Long-Baseline Accelerator-based
  Neutrino Oscillation Experiments","8 pages, 8 figures, Proceedings of the XLIIIrd Rencontres de Moriond
  on Electroweak Interactions and Unified Theories, La Thuile, Italy, March
  1-8, 2008",,,,"hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Neutrino oscillations are clear evidence for physics beyond the standard
model. The goal of next-generation neutrino oscillation experiments is to find
a non-zero $\theta_{13}$, the last mixing matrix element for which we only know
an upper limit. For this, next-generation long-baseline neutrino oscillation
experiments require an order of magnitude better sensitivities. In particular,
accelerator-based experiments such as T2K and NOvA experiments need (1) good
neutrino energy reconstruction for the precise measurement of $\Delta m^2_{32}$
and $sin^22\theta_{23}$, and (2) good background prediction to measure $\nu_e$
appearance signals. Current and near future high statistics neutrino
experiments, such as K2K, MiniBooNE, SciBooNE, MINOS, and MINERvA help both (1)
and (2) by precise signal and background channel measurements.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:27:53 GMT""}]","2008-05-19"
"0805.2477","Antonios Garas","Antonios Garas, Panos Argyrakis, and Shlomo Havlin","The structural role of weak and strong links in a financial market
  network","To appear in EPJ-B","Eur. Phys. J. B 63, 265--271 (2008)","10.1140/epjb/e2008-00237-3",,"q-fin.ST physics.soc-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate the properties of correlation based networks originating from
economic complex systems, such as the network of stocks traded at the New York
Stock Exchange (NYSE). The weaker links (low correlation) of the system are
found to contribute to the overall connectivity of the network significantly
more than the strong links (high correlation). We find that nodes connected
through strong links form well defined communities. These communities are
clustered together in more complex ways compared to the widely used
classification according to the economic activity. We find that some companies,
such as General Electric (GE), Coca Cola (KO), and others, can be involved in
different communities. The communities are found to be quite stable over time.
Similar results were obtained by investigating markets completely different in
size and properties, such as the Athens Stock Exchange (ASE). The present
method may be also useful for other networks generated through correlations.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:30:04 GMT""}]","2008-12-02"
"0805.2478","Luigi Coraggio","L. Coraggio, A. Covello, A. Gargano, N. Itaco, and T. T. S. Kuo","Short-range correlations and shell structure of medium-mass nuclei","7 pages, 7 figures, 1 table",,,,"nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The single-particle spectrum of the two nuclei 133Sb and 101Sn is studied
within the framework of the time-dependent degenerate linked-diagram
perturbation theory starting from a class of onshell-equivalent realistic
nucleon-nucleon potentials. These potentials are derived from the CD-Bonn
interaction by using the so-called V-low-k approach with various cutoff
momenta. The results obtained evidence the crucial role of short-range
correlations in producing the correct 2s1d0g0h shell structure.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:04:55 GMT""},{""version"":""v2"",""created"":""Tue, 13 Oct 2009 13:18:03 GMT""}]","2009-10-13"
"0805.2479","Ma{\l}gorzata Bogdan","Ma{\l}gorzata Bogdan, Jayanta K. Ghosh, Surya T. Tokdar","A comparison of the Benjamini-Hochberg procedure with some Bayesian
  rules for multiple testing","Published in at http://dx.doi.org/10.1214/193940307000000158 the IMS
  Collections (http://www.imstat.org/publications/imscollections.htm) by the
  Institute of Mathematical Statistics (http://www.imstat.org)","IMS Collections 2008, Vol. 1, 211-230","10.1214/193940307000000158","IMS-COLL1-IMSCOLL116","math.ST stat.TH","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In the spirit of modeling inference for microarrays as multiple testing for
sparse mixtures, we present a similar approach to a simplified version of
quantitative trait loci (QTL) mapping. Unlike in case of microarrays, where the
number of tests usually reaches tens of thousands, the number of tests
performed in scans for QTL usually does not exceed several hundreds. However,
in typical cases, the sparsity $p$ of significant alternatives for QTL mapping
is in the same range as for microarrays. For methodological interest, as well
as some related applications, we also consider non-sparse mixtures. Using
simulations as well as theoretical observations we study false discovery rate
(FDR), power and misclassification probability for the Benjamini-Hochberg (BH)
procedure and its modifications, as well as for various parametric and
nonparametric Bayes and Parametric Empirical Bayes procedures. Our results
confirm the observation of Genovese and Wasserman (2002) that for small p the
misclassification error of BH is close to optimal in the sense of attaining the
Bayes oracle. This property is shared by some of the considered Bayes testing
rules, which in general perform better than BH for large or moderate $p$'s.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:06:03 GMT""}]","2008-12-18"
"0805.2480","Francesco Cianfrani dr","F. Cianfrani, G. Montani","Curvature-spin coupling from the semi-classical limit of the Dirac
  equation","4 pages, Proceedings of the II Stueckelberg workshop","Int.J.Mod.Phys.A23:1274-1277,2008","10.1142/S0217751X08040214",,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The notion of a classical particle is inferred from Dirac quantum fields on a
curved space-time, by an eikonal approximation and a localization hypothesis
for amplitudes. This procedure allows to define a semi-classical version of the
spin-tensor from internal quantum degrees of freedom, which has a
Papapetrou-like coupling with the curvature.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:08:52 GMT""}]","2014-11-18"
"0805.2481","Marco Pellegrini","Marco Antonio Pellegrini","The character table of a split extension of the Heisenberg group
  $H_1(q)$ by $Sp(2,q)$, $q$ odd","9 pages",,,,"math.RT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we determine the full character table of a certain split
extension $H_1(q)\rtimes Sp(2,q)$ of the Heisenberg group $H_1$ by the
odd-characteristic symplectic group $Sp(2,q)$.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:20:11 GMT""}]","2008-05-19"
"0805.2482","Jitesh Bhatt","Jitesh R. Bhatt and Utpal Sarkar","Majorana Neutrino Superfluidity and Stability of Neutrino Dark Energy","6 pages, to appear in Phys. Rev. D","Phys.Rev.D80:045016,2009","10.1103/PhysRevD.80.045016",,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We demonstrate that Majorana neutrinos can form Cooper pairs due to
long-range attractive forces and show BCS superfluidity in a class of mass
varying neutrino dark energy models. We describe the condensates for Majorana
neutrinos and estimate the value of the gap, critical temperature and Pippard
coherence length for a simple neutrino dark energy model. In the strong
coupling regime bosonic degree of freedom can become important and
Bose-Einstein condensate may govern the dynamics for the mass varying neutrino
models. Formation of the condensates can significantly alter the instability
scenario in the mass varying neutrino models.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:24:49 GMT""},{""version"":""v2"",""created"":""Mon, 27 Jul 2009 07:16:19 GMT""}]","2010-05-12"
"0805.2483","Anthony Papathanassiou Dr","A. N. Papathanassiou, I. Sakellis and J. Grammatikakis","Universal frequency-dependent ac conductivity of conducting polymer
  networks","8 pages plus 3 figures","APPLIED PHYSICS LETTERS Volume: 91 Issue: 12 Article Number:
  122911 Published: SEP 17 2007",,,"cond-mat.dis-nn cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A model based on the aspect of the distribution of the length of conduction
paths accessible for electric charge flow reproduces the universal power-law
dispersive ac conductivity observed in polymer networks and, generally, in
disordered matter. Power exponents larger than unity observed in some cases are
physically acceptable within this model. A saturation high frequency region is
also predicted, in agreement with experimental results. There does not exist a
universal fractional power law (and is useless searching for a unique common
critical exponent), but a qualitative universal behavior of the ac conductivity
in disordered media.
","[{""version"":""v1"",""created"":""Fri, 16 May 2008 09:25:25 GMT""}]","2008-05-19"
